,texto,doc_id,tiempo_segundos,dificultad
0,"El cambio climático es un problema sistémico, su origen y consecuencias son económicas, no es homogéneo ni en tiempo ni en espacio, no es equitativo en sus impactos, tiene sinergias y retroalimentaciones con otros problemas, y responde a acciones globales concertadas, por lo que sí se puede hacer algo al respecto.
Así lo consideró María Amparo Martínez Arroyo, especialista en análisis de problemas ambientales, en su conferencia Cambio climático en México, retos de un mundo cambiante, en el marco del Encuentro Internacional de Ciencias Artes y Humanidades, UNAM 2022.
La representante del Instituto de Ciencias de la Atmósfera y Cambio Climático de la Universidad Nacional Autónoma de México (UNAM) y coordinadora del Grupo de Aerosoles Atmosféricos mostró hallazgos que ha habido en la ciencia que revelan que ya vivimos en un mundo 1.1 grado centígrado más cálido y dio a conocer que 2021 fue el cuarto año más caluroso del que se tenga registro en el país y el sexto año a nivel global.
Dijo que las desigualdades sociales y económicas, junto con la crisis ambiental y climática, forman parte de los desafíos globales, y que la vulnerabilidad al cambio climático es un fenómeno multidimensional, dinámico y formado por la ubicación, procesos de marginación políticos, económicos y culturales históricos y contemporáneos que se entrecruzan.
Habló de cuáles son las características del cambio climático, haciendo énfasis en que tiene que verse como un fenómeno global, cuáles son los problemas más fuertes que se tienen en el mundo, cómo se relacionan entre ellos y cuáles son los retos ante este panorama.
La bióloga con doctorado en Ecología reveló que el clima, seguridad y ambiente son factores que impulsan la migración desde tiempos remotos; consideró que el clima y las poblaciones humanas, cómo se mueven y hacia a dónde van, han estado ligados desde el principio.
También expuso acerca de los cambios emergentes en el sistema climático como el incremento de la concentración del CO2, el calentamiento del océano, el aumento en el nivel del mar y de la temperatura global, y cómo la influencia humana ha calentado el clima a un ritmo sin precedentes en los últimos 2000 años.
“El tema de cambio climático se hizo un cliché o una moda antes de que se entendiera completamente, esto nos lleva a muchos equívocos, controversias que no son legítimas, que son realmente por otro tipo de cuestiones que no son científicas, y a veces es difícil reconocer cuál es la parte real de conocimiento y cuál es la del interés con el que interpretamos los hechos.
“El clima tiene una dinámica que ya está echada a andar, la investigación y todos los esfuerzos internacionales conjuntos son para tratar de ver en qué momento podemos nosotros predecir o proyectar escenarios de qué va a pasar y hacer algo al respecto”, señaló en su conferencia transmitida en días pasados por redes sociales de la UNAM.
Presentó panoramas de cómo están las fuentes de emisión, de interacciones entre riesgos globales, contaminación y deterioro de ecosistemas y ambiente, distintas visiones y disciplinas, además de la urgencia de acción a corto plazo y a largo plazo, haciendo énfasis en que la acción climática ambiciosa requiere la implementación integrada de la adaptación y la mitigación en apoyo del desarrollo sostenible.",0,91.05333333333334,3
1,"Alumnos de los Talleres Libres de Danza hicieron su “Presentación de fin de cursos y Antología, acompañados por el grupo Adenio Danza y egresados de la Licenciatura de Artes Escénicas
Bajo la dirección general de Mónica Castro Tolosa pisaron el escenario del Foro de Bellas Artes, en un recorrido coreográfico que se dividió en dos partes.
“La primera es una demostración del trabajo que realizan diariamente en clase y la segunda parte son coreografías donde podemos ver el dominio escénico que van adquiriendo”, indicó la académica.
Fueron 35 alumnos de los talleres libres de danza clásica, en los niveles intermedio y avanzado, y el grupo representativo Adenio Danza, conformado por alumnas del Taller de Repertorio en Lenguaje de la Danza Clásica, quienes presentaron el proyecto Antología, el cual se estrenará en su totalidad el próximo semestre.
Esta presentación marcó su regreso al escenario
“Esta función es una oportunidad para los alumnos de mostrar en el escenario todos los conocimientos adquiridos durante el semestre. En esta ocasión se le suma el reto de regresar a foro después de año y medio de clases virtuales: el manejo del espacio y la interacción con sus compañeros al bailar.",1,41.53,2
2,"Para conocer las bondades que ofrece la Universidad de Sonora, en especial de los departamentos de Arquitectura y Diseño, Bellas Artes, así como de Letras y Lingüística, 41 estudiantes de preparatoria del municipio de Carbó visitaron diversas instalaciones universitarias.
Sylvia Lenika Placencia Leal, presidenta municipal, dijo que el objetivo de la actividad fue que los estudiantes de último semestre vivieran la experiencia de conocer los salones, laboratorios y talleres universitarios y que tengan más opciones, más allá del municipio, donde se puedan preparar y desarrollar profesionalmente y al concluir su formación académica tener la posibilidad de volver a su lugar de origen y servir a la comunidad.
“Es un privilegio que la Universidad de Sonora esté a 45 minutos del municipio y no habría pretextos porque los jóvenes no vinieran a estudiar. Son 41 estudiantes que están en el último semestre de preparatoria los que asistieron a conocer las instalaciones de la institución”, señaló.
Impulsan formación profesional
La visita surgió ante la preocupación y la intención de que más jóvenes de Carbó se preparen y tengan más posibilidades de recibir una educación de alta calidad, similar a la que ofrece la máxima casa de estudios del estado, aseguró la presidenta municipal.
“Lo que más me interesa es que no haya deserción y que ellos estudien y que lleven ese mensaje a la gente que viene atrás de ellos; que sean agradecidos con sus padres y familias por el apoyo brindado y que su preparación profesional sea la manera de retribuir el gran esfuerzo que hacen”.
“El crecimiento de la Universidad es muy notable, el recibimiento que nos dieron fue muy cordial y los jóvenes estudiantes están muy contentos y emocionados observar todo lo que se hace en la institución”, manifestó.
El recorrido contempló la visita a las instalaciones de la Licenciatura en Artes Escénicas, Centro de las Artes, Departamento de Arquitectura y Diseño, Licenciatura en Música, Licenciatura en Artes Plásticas.
También se previó la entrada al Foro de Bellas Artes a la presentación de la obra de teatro “La Posadera” y al terminar se continuó con el recorrido en el Departamento de Letras y Lingüística y otras áreas del campus universitario.
Durante la actividad también estuvo presente Rigoberto Moroyoqui Pérez, tesorero municipal.",2,84.0,1
3,"ARTÍCULO 98. Se otorgará mención honorífica cuando la persona que sustenta cumpla lo siguiente: I. Presentar una tesis o trabajo terminal de gran trascendencia. II. Presentar un examen de grado en la fase oral de calidad excepcional. III. Obtener un promedio general de calificaciones mayor o igual a noventa y cinco en cada uno de los periodos escolares que com- prende el programa de posgrado y, no haber reprobado ninguna asignatura. IV. Finalizar el plan de estudios y obtener el diploma o grado en los plazos establecidos en el artículo 9. 45 Reglamento de Estudios de Posgrado V. Los demás requisitos y procedimiento para la asignación que esta- blezca la Comisión Académica del Posgrado previa aprobación por parte del Consejo Divisional correspondiente.",3,37.0,2
4,"Artículo 7. La persona titular de la Defensoría deberá reunir los
requisitos siguientes:
I. Ser docente de la Universidad de Sonora y tener
conocimientos y experiencia documentada sobre la
normatividad universitaria, los DDHH y la perspectiva de
género.
II. Tener al menos cinco años de servicio en la actividad
académica de la Universidad de Sonora.
III. No formar parte del Colegio Académico de la Universidad
de Sonora.
IV. No haber formado parte del Comité Ejecutivo de los sin-
dicatos universitarios en los dos últimos años, así como no
haber ocupado cargo político o de dirección en partidos
políticos en los últimos dos años al día de la elección.
9
CAPÍTULO IV
Competencias",4,67.25333333333333,2
5,"ARTÍCULO 30. Integrantes del Núcleo Académico Básico deberán mantener un equilibrio en sus funciones dentro del programa, asegurando que se cubran en tiempo y forma actividades sustantivas como docencia, investigación, dirección de tesis, tutorías, comités tutoriales y jurado de exámenes. Además de las funciones mencionadas anteriormente, profesoras y profesores del Núcleo Académico Básico deberán: I. Participar en la revisión y actualización de los planes de estudio y programas de materia. II. Participar en las actividades de planeación, evaluación, acredita- ción y difusión del programa. III. Realizar actividades de gestión académica. IV. Asistir a las reuniones convocadas por la coordinación del posgrado y participar en las acciones que se deriven de los acuerdos que en ellas se establezcan. V. Mantener actualizada la información de su curriculum vitae en las plataformas tecnológicas internas y externas. VI. Registrar las actividades que le hayan sido asignadas para la admi- sión de aspirantes y seguimiento de la trayectoria de estudiantes en el Sistema de Posgrado (SIPO) o sistema que lo sustituya en su momento. VII. Las demás que establezca el presente Reglamento y la normativi- dad universitaria.",5,41.83,2
6,"ARTÍCULO 27. Los prestadores de SSU tendrán los siguientes derechos: I. Realizar actividades de servicio social acordes con el perfil aca- démico del programa educativo donde está inscrito. II. Recibir atención oportuna en los trámites de registro y libera- ción del SSU. III. Solicitar al Coordinador de Servicio Social de su división o al Responsable de Servicio Social de su programa educativo, baja temporal o definitiva del servicio por circunstancias plenamente justificadas. IV. Recibir la acreditación parcial del número de horas correspon- dientes, en caso de que el servicio social se vea interrumpido, previa presentación de un informe de actividades realizadas fir- mado por el prestador y firmado y sellado por el Responsable del Programa o Proyecto. V. Obtener información inmediata de las dependencias que admi- nistran el servicio social, en caso de cambios en las condiciones y actividades dentro del programa o proyecto. VI. Recibir orientación e información adecuada y oportuna por par- te del responsable del programa o proyecto para el desempeño de su servicio. VII. Recibir un trato digno, respetuoso y profesional por parte del 20 Reglamento de Servicio Social Universitario personal de la instancia responsable de la institución y de las Unidades Receptoras. VIII. Contar, por parte de la Unidad Receptora donde presta su servicio social, con los recursos materiales necesarios para el de- sarrollo de sus actividades. IX. Gozar de estímulos por la prestación del SSU, cuando así se esta- blezca en los programas o convenios que celebre la Universidad con la Unidad Receptora. X. Recibir de la Unidad Receptora la constancia de prestación fir- mada y sellada por el Responsable del Programa o Proyecto al término del servicio. XI. En caso de haber sido sancionado, apelar ante el CISSU cuando considere que la sanción es improcedente, debiendo presentar las pruebas y los argumentos por escrito que a su derecho con- vengan, y que justifiquen su apelación en un término no mayor de 15 días hábiles a partir de la notificación de la sanción. De las obligaciones del prestador",6,108.66666666666667,3
7,"Las instituciones de educación superior y centros de investigación de México deben abrir espacios para la reflexión y el análisis de las diversas reformas que se plantean a la Constitución Mexicana y al Sistema de Justicia Penal, pues atentan contra la democracia, los derechos humanos y criminaliza al ciudadano, señaló el coordinador del Posgrado en Derecho de la Universidad de Sonora, Jorge Pesqueira Leal.
Derivado del foro Proyectos de iniciativas que reforman la Constitución y el Sistema de Justicia Penal, lo anterior quedó plasmado en un manifiesto donde la Universidad de Sonora invita a la discusión de estos temas, pues “en cada iniciativa se va encontrando que el nuevo sistema penal, como se pretende instrumentar no avanza en la democracia sino que nos retrasa a tiempos pasados”, refirió el académico.
Reconoció que el sistema penal vigente, que entró en vigor en 2016, requiere de ajustes en todo el marco normativo, “pero no con la orientación que se le está dando, que es una orientación punitiva, una orientación que criminaliza al ciudadano y lo coloca en riesgo de perder la libertad”, y que además contempla revivir la figura del arraigo ante la presunta comisión de cualquier delito, lo cual es violatorio a los derechos humanos.
El actual Procedimiento Penal Acusatorio Adversarial tiene menos de cuatro años funcionando y las reformas que se proponen buscan destruir un sistema que aún está en desarrollo, a fin de que nazca otro con figuras preocupantes, como la figura del juez único y que sea éste quien investigue, procese y sentencie; se trata de un modelo inquisitivo vigente en México antes de la Constitución de 1917, refirió.
Pesqueira Leal consideró que la reforma más grave que se prevé es la de tipo constitucional a fin de que el poder Ejecutivo defina quiénes están en posibilidad de ser elegidos jueces y magistrados, que la elección sea hecha por el poder Legislativo y que estas figuras del poder Judicial rindan cuentas al Senado de República, al poder Legislativo, “eso es invasión de un poder a otro y eso fisura la democracia mexicana”, advirtió.
Estos y otros aspectos de las reformas que se prevén a la Constitución Mexicana, al Código Nacional de Procedimientos Penales, a Ley del Sistema Integral de Justicia Penal de Adolescentes, a la Ley Nacional de Ejecución Penal y a las leyes orgánicas de la Fiscalía General de la República, fueron analizadas la tarde de este martes en el foro Proyectos de iniciativas que reforman la Constitución y el Sistema de Justicia Penal.
Para ello se realizaron dos mesas de análisis en las que participaron académicos especialistas en dichas temas: Héctor Campbell Araujo, Miguel Ángel Soto Lamadrid, María Auxiliadora Moreno Valenzuela, Gabriel Elías Urquidi, Jorge Antonio Pesqueira Ancheta, Jorge Pesqueira Leal, Gonzalo Yescas Figueroa, Gabriel García Correa y Raúl Guillén López.
Como moderadora participaron las docentes Amelia Iruretagoyena Quiroz y María Elena Carrera Lugo. La ceremonia inaugural fue presidida por el rector, Enrique Fernando Velázquez Contreras.",7,79.235,2
8,"ARTÍCULO 5. El Colegio Departamental contará con un plazo de 10 días naturales, a partir
de recibida la terna, para realizar la elección, requiriéndose para ello una mayoría de dos
terceras partes del total de los integrantes del órgano colegiado. En el caso de que en la
primera ronda no se alcance mayoría calificada, se procederá a una segunda ronda que se
elegirá por mayoría simple. Si transcurrido el plazo no lo hubiera hecho, el candidato(a) con
el mayor porcentaje de votos durante la primera ronda de votación será designada(o) como
titular de la Jefatura de Departamento. (Artículo aprobado por el H. Colegio Universitario
en la sesión número 5 celebrada el 16 de noviembre de 2023).
Página 3 de 22
REGLAMENTO TRANSITORIO PARA LA
ELECCIÓN DE CANDIDATURAS A LA TITULARIDAD
DE LAS JEFATURAS DE DEPARTAMENTO",8,58.207499999999996,3
9,"ARTÍCULO 35. Las responsabilidades del comité tutorial son: dar asesoría y seguimiento al cumplimiento del avance del plan de estudios de la estudiante o del estudiante, incluido el proyecto de tesis o trabajo terminal; informar a la Coordinación de Programa sobre el resultado de las evaluaciones semestrales del proyecto de tesis o trabajo terminal de la estudiante o del estudiante, registrando las evaluaciones en el Sistema de Posgrado (SIPO) o sistema que lo sustituya en su momento. 25 Reglamento de Estudios de Posgrado",9,24.333333333333332,1
